Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 1000
First seed: 2132984486
Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 1000
Seed label: white:basic-strategy-2026-04-30-1000
First seed: 2132984486
Endpoints: http://127.0.0.1:12347, http://127.0.0.1:12348, http://127.0.0.1:12349, http://127.0.0.1:12350, http://127.0.0.1:12351, http://127.0.0.1:12352
Replay mode: summary
Start retries: 1
Failed seed retries: 2
[282/1000] seed=1836742217 won=False ante=7 score=46509 money=51 runtime=1975.69s
[283/1000] seed=1049466329 won=True ante=8 score=1065 money=127 runtime=4381.25s
[284/1000] seed=905439571 won=False ante=6 score=23000 money=42 runtime=330.09s
[285/1000] seed=236108593 won=False ante=7 score=46518 money=96 runtime=198.17s
[286/1000] seed=2084840212 won=False ante=5 score=7904 money=22 runtime=1050.05s
[287/1000] seed=1175025750 won=False ante=4 score=8908 money=1 runtime=460.13s
[288/1000] seed=870671445 won=False ante=2 score=2291 money=20 runtime=117.20s
[289/1000] seed=1503644697 won=False ante=6 score=29706 money=42 runtime=330.23s
[290/1000] seed=488713197 won=False ante=4 score=6838 money=8 runtime=569.65s
[291/1000] seed=164415629 won=False ante=4 score=9366 money=53 runtime=1003.05s
[292/1000] seed=757442171 won=False ante=6 score=34007 money=54 runtime=817.14s
[293/1000] seed=1069256024 won=False ante=1 score=288 money=4 runtime=34.88s
[294/1000] seed=817159945 won=False ante=2 score=700 money=15 runtime=71.21s
[295/1000] seed=1261713584 won=False ante=0 score=0 money=0 runtime=444.35s death=error:BalatroBridgeError: Balatro bridge error: {'data': {'name': 'BAD_REQUEST'}, 'code': -32001, 'message': 'Cannot purchase joker card, jo
[296/1000] seed=1188584489 won=False ante=7 score=55720 money=116 runtime=614.01s
[297/1000] seed=392258297 won=False ante=6 score=10559 money=12 runtime=1716.45s
[298/1000] seed=568030899 won=False ante=1 score=275 money=4 runtime=35.85s
[299/1000] seed=1192714309 won=False ante=5 score=4240 money=75 runtime=923.62s
[300/1000] seed=97350313 won=False ante=3 score=3726 money=48 runtime=453.81s
[301/1000] seed=1722822561 won=False ante=6 score=3645 money=76 runtime=269.64s
[302/1000] seed=1229755014 won=False ante=4 score=4668 money=1 runtime=962.42s
[303/1000] seed=405065413 won=False ante=4 score=7066 money=32 runtime=665.66s
[304/1000] seed=2125368337 won=False ante=7 score=16071 money=42 runtime=5271.80s
[305/1000] seed=1998893579 won=False ante=0 score=0 money=0 runtime=338.95s death=error:BalatroBridgeError: Balatro bridge error: {'data': {'name': 'NOT_ALLOWED'}, 'code': -32003, 'message': 'Cannot select joker, joker slo
[306/1000] seed=1451142335 won=False ante=2 score=1124 money=27 runtime=69.02s
[307/1000] seed=576029070 won=False ante=2 score=554 money=16 runtime=286.33s
